,English,Japanese,Russian,Chinese (simplified)
,,,,
Naomi,Naomi Aoki,,,
,"Naomi Aoki has several years of experience teaching English to students from different cultural backgrounds. She enjoys helping learners expand their language abilities while building the confidence needed to communicate effectively.
Her classes emphasize encouragement, practice, and creating a comfortable space for students to develop their speaking skills.
","青木ナオミは、さまざまな文化背景を持つ生徒に英語を教えてきた経験があります。生徒が語学力を伸ばしながら、効果的にコミュニケーションできる自信を身につけられるようサポートすることを大切にしています。
彼女のクラスでは、励ましと実践を重視し、生徒が安心してスピーキング力を伸ばせる環境づくりを大切にしています。","Наоми Аоки имеет несколько лет опыта преподавания английского студентам из разных культурных сред. Ей нравится помогать ученикам развивать языковые навыки и укреплять уверенность, необходимую для эффективного общения.
На её занятиях большое внимание уделяется поддержке, практике и созданию комфортной атмосферы, в которой студенты могут развивать свои разговорные навыки.","青木直美拥有多年向不同文化背景学生教授英语的经验。她乐于帮助学生提升语言能力，同时建立自信，从而能够更加有效地进行交流。
她的课堂注重鼓励与实践，并营造一个让学生能够轻松发展口语能力的学习环境。"
,,,,
Hiromi,Hiromi,,,
,"Hiromi believes that education has the power to open doors and create new opportunities for students. Her teaching approach focuses on helping learners discover their potential while developing the confidence to use English in real-life situations.
She encourages students to stay curious, motivated, and open to learning new skills.
","ヒロミは、教育には生徒の未来を広げ、新しい機会を生み出す力があると信じています。彼女の指導法は、生徒が自分の可能性を見つけながら、実際の場面で英語を使う自信を身につけられるようサポートすることに重点を置いています。
また、生徒が好奇心を持ち続け、意欲的に新しいスキルを学び続けることを大切にしています。","Хироми считает, что образование обладает силой открывать двери и создавать новые возможности для студентов. Её подход к обучению направлен на то, чтобы помочь ученикам раскрыть свой потенциал и развить уверенность в использовании английского в реальных ситуациях.
Она поощряет студентов сохранять любознательность, мотивацию и стремление осваивать новые навыки.","Hiromi 认为教育拥有为学生打开新大门、创造新机会的力量。她的教学方式注重帮助学生发现自己的潜力，并建立在真实生活情境中使用英语的信心。
她鼓励学生保持好奇心和学习动力，并不断学习新的技能。"
,,,,
,,,,
Ema,Ema Ito,,,
,Ema Ito focuses on helping students strengthen their English through structured learning and clear communication practice. She supports learners in developing confidence while improving both written and spoken English.,伊藤エマは、体系的な学習と明確なコミュニケーション練習を通して、生徒の英語力向上をサポートしています。書く力と話す力の両方を伸ばしながら、自信を持って英語を使えるよう指導しています。,"Эма Ито помогает студентам укреплять знания английского с помощью структурированного обучения и практики ясного общения. Она поддерживает учеников в развитии уверенности, одновременно улучшая их письменный и разговорный английский.",伊藤绘麻专注于通过系统化学习和清晰的沟通练习，帮助学生提升英语能力。她在提高学生书面和口语英语水平的同时，也帮助他们建立自信。
,"Specializations:
Essay Writing
Grammar
TOEIC Preparation
IELTS Preparation","専門分野：
エッセイライティング
文法
TOEIC対策
IELTS対策","Специализация:
Написание эссе
Грамматика
Подготовка к TOEIC
Подготовка к IELTS","专长领域：
论文写作
语法
TOEIC考试准备
IELTS考试准备"
,,,,
Lucy,Lucy,,,
,"Lucy, our Chinese language teacher,  brings an international perspective to her teaching and enjoys introducing students to language through cultural understanding. Her lessons combine structured language practice with engaging activities that help students develop communication skills.
She believes that learning a language is also a way to explore new cultures and perspectives.
","中国語教師のルーシーは、国際的な視点を取り入れた指導を行い、文化への理解を通して言語を学ぶ楽しさを生徒に伝えています。彼女のレッスンは、体系的な語学練習と楽しいアクティビティを組み合わせ、生徒のコミュニケーション力を育てます。
また、言語を学ぶことは新しい文化や考え方を発見する方法でもあると考えています。","Люси, наш преподаватель китайского языка, привносит в обучение международный взгляд и помогает студентам изучать язык через понимание культуры. Её занятия сочетают структурированную языковую практику с увлекательными заданиями, которые развивают коммуникативные навыки.
Она считает, что изучение языка — это также способ познакомиться с новыми культурами и взглядами на мир.","我们的中文老师 Lucy 在教学中融入国际视角，并通过文化理解帮助学生学习语言。她的课程结合系统化的语言练习和有趣的互动活动，帮助学生提升沟通能力。
她认为，学习一门语言也是探索不同文化和视角的一种方式。"
,,,,
,,,,
Abe,Abe,,,
,"Abe enjoys helping students improve their English in a relaxed and encouraging learning environment. His lessons focus on building confidence through conversation practice and interactive activities.
He believes that students learn best when they feel comfortable speaking and making mistakes as part of the learning process.
","Abeは、リラックスした励ましのある学習環境の中で、生徒が英語力を伸ばせるようサポートすることを楽しんでいます。彼のレッスンは、会話練習やインタラクティブな活動を通して、自信を育てることに重点を置いています。
また、生徒が安心して話し、間違いを学びの一部として受け入れられるとき、最もよく学べると考えています。","Абе любит помогать студентам улучшать английский язык в спокойной и поддерживающей учебной атмосфере. Его занятия направлены на развитие уверенности через разговорную практику и интерактивные задания.
Он считает, что студенты учатся лучше всего, когда чувствуют себя комфортно, разговаривая и воспринимая ошибки как часть процесса обучения.","Abe 喜欢在轻松和鼓励的学习环境中帮助学生提高英语水平。他的课程通过对话练习和互动活动来建立学生的自信。
他相信，当学生在表达时感到轻松，并把错误看作学习过程的一部分时，学习效果会最好。"
,,,,
Caleb,Caleb,,,
,"Caleb focuses on helping students develop clear communication skills through practical English usage. His teaching style emphasizes conversation, active participation, and building confidence in everyday speaking situations.
He enjoys supporting students as they progress toward fluency and greater comfort using English.
","ケイレブは、実践的な英語の使用を通して、生徒が明確なコミュニケーション能力を身につけることに重点を置いています。彼の指導スタイルは、会話、積極的な参加、そして日常の場面で英語を使う自信を育てることを大切にしています。
また、生徒が流暢さを高め、英語をより自然に使えるようになるまでサポートすることを楽しんでいます。","Калеб помогает студентам развивать чёткие коммуникативные навыки через практическое использование английского языка. Его стиль преподавания делает акцент на разговоре, активном участии и развитии уверенности в повседневных ситуациях общения.
Ему нравится поддерживать студентов на пути к свободному и уверенномy владению английским языком.","Caleb 专注于通过实际使用英语来帮助学生培养清晰的沟通能力。他的教学风格强调对话、积极参与，并帮助学生在日常交流中建立自信。
他也很享受支持学生不断进步，逐步达到流利并更自然地使用英语。"
