,English,Japanese,Russian,Chinese (simplified)
,"We use a natural language acquisition method. Through frequent repetition, we gradually increase the complexity of the material. Our students are not afraid to use English. ",私たちは自然な言語習得メソッドを採用しています。繰り返し練習を通して、学習内容の難易度を少しずつ高めていきます。生徒たちは英語を使うことを恐れず、積極的に話せるようになります。,Мы используем метод естественного усвоения языка. Благодаря регулярному повторению сложность материала постепенно увеличивается. Наши студенты не боятся использовать английский язык.,我们采用自然语言习得的方法。通过不断的重复练习，逐步提高学习内容的难度，让学生不再害怕使用英语。
,,,,
Testimonials,What Parents & Students Say,保護者と生徒の声,Что говорят родители и студенты,家长和学生的评价
,Success Stories From Our Students,生徒たちの成功ストーリー,Истории успеха наших студентов,学生的成功故事
,,,,
,"My daughter enjoys the lessons very much and looks forward to every class. The teachers are patient and encouraging, and I can already see her becoming more confident when speaking English.",娘はレッスンをとても楽しんでおり、毎回の授業を楽しみにしています。講師はとても忍耐強く励ましてくれるので、娘が英語を話すことに自信を持てるようになってきたのが分かります。,"Моя дочь очень любит занятия и всегда с нетерпением ждёт каждого урока. Преподаватели терпеливые и поддерживающие, и я уже вижу, как она становится более уверенной в разговоре на английском.",我的女儿非常喜欢这些课程，每次上课都充满期待。老师们耐心又鼓励学生，我已经看到她在用英语交流时变得更加自信。
,"Sabina, Mother of Camilla",サビーナ（カミラの母）,"Сабина, мама Камиллы",萨宾娜，卡米拉的母亲
,,,,
,"The classes have helped my son improve his English skills and feel more comfortable speaking. The lessons are engaging and well organized, and the teachers know how to keep children motivated.",このクラスのおかげで、息子は英語力が向上し、話すことにも自信が持てるようになりました。授業は楽しくよく構成されており、講師は子どもたちのやる気を引き出すのがとても上手です。,"Эти занятия помогли моему сыну улучшить знания английского и чувствовать себя более уверенно в разговоре. Уроки интересные и хорошо организованные, а преподаватели умеют поддерживать мотивацию у детей.",这些课程帮助我的儿子提高了英语水平，也让他在开口说英语时更加自信。课程内容有趣且组织良好，老师们也很擅长激发孩子们的学习动力。
,"Julia, Mother of Samuel",ジュリア（サミュエルの母）,"Юлия, мама Самуэля",朱莉娅，塞缪尔的母亲
,,,,
,"We are very happy with the results. My son has become more confident in English and participates actively in class. The teachers are professional, supportive, and genuinely care about their students' progress.",私たちはこの結果にとても満足しています。息子は英語に自信を持つようになり、授業にも積極的に参加しています。講師はとてもプロフェッショナルで親身にサポートしてくれ、生徒一人ひとりの成長を本当に大切にしています。,"Мы очень довольны результатами. Мой сын стал гораздо увереннее говорить по-английски и активно участвует в занятиях. Преподаватели профессиональны, поддерживают студентов и искренне заботятся об их прогрессе.",我们对学习成果非常满意。我的儿子在英语方面变得更加自信，也更加积极地参与课堂。老师们专业又支持学生，真心关心每一位学生的进步。
,"Elia Gunkin, Father of Pasha",エリア・グンキン（パシャの父）,"Элия Гункин, отец Паши",埃利亚·贡金，帕沙的父亲
,,,,
,Mr. John and his wife have been teaching English to my daughter Milana since 2021. Milana really enjoys the lessons. I must say her spoken English has improved significantly during this time. I highly recommend English lessons with John and his wife. 🔥,ジョン先生と奥様は、2021年から娘のミラナに英語を教えてくれています。ミラナはレッスンをとても楽しんでいます。この期間で彼女の英会話力は大きく向上しました。ジョン先生ご夫妻の英語レッスンを心からおすすめします。🔥,Мистер Джон и его жена обучают мою дочь Милану английскому языку с 2021 года. Милане очень нравятся занятия. За это время её разговорный английский значительно улучшился. Я искренне рекомендую уроки английского с Джоном и его женой. 🔥,约翰老师和他的妻子从2021年开始教我的女儿米拉娜学习英语。米拉娜非常喜欢这些课程。在这段时间里，她的英语口语有了明显的进步。我非常推荐和约翰老师夫妇一起学习英语。🔥
,"Milana's Father, Parent",ミラナの父（保護者）,"Отец Миланы, родитель",米拉娜的父亲，家长
,,,,
,"This was my first time communicating with a foreign teacher, and at first I felt unsure of my abilities and wondered if I would be able to keep up. But after the very first lesson, those doubts disappeared. I felt a surge of confidence and motivation to improve.

I am very grateful to Mr. John, who truly inspires his students and helps them believe in their abilities. I especially appreciate how he highlights each student's strengths during reflection, which shows how attentive he is to his students. I always look forward to our lessons.","外国人の先生と話すのはこれが初めてで、最初は自分の力でついていけるのか少し不安でした。でも最初のレッスンが終わる頃には、その不安はすべて消えていました。自信が湧き、もっと上達したいという意欲が強くなりました。

生徒を本当に励まし、自分の力を信じさせてくれるジョン先生にとても感謝しています。特に、振り返りの時間に生徒一人ひとりの強みを見つけてくれるところに、先生の細やかな気配りを感じます。毎回のレッスンを楽しみにしています。","Это был мой первый опыт общения с иностранным преподавателем, и сначала я немного сомневалась в своих силах и думала, смогу ли справиться. Но уже после первого урока все сомнения исчезли. Я почувствовала уверенность и сильную мотивацию продолжать совершенствоваться.

Я очень благодарна мистеру Джону, который вдохновляет своих студентов и помогает им поверить в собственные способности. Особенно ценю то, как во время обсуждения он отмечает сильные стороны каждого ученика — это показывает, насколько внимательно он относится к своим студентам. Я всегда с нетерпением жду наших занятий.","这是我第一次与外国老师交流，一开始我有些不确定自己的能力，担心自己是否能够跟上课程。但在第一节课结束后，这些顾虑都消失了，我感到信心大增，也更有动力继续提升自己。

我非常感谢约翰老师，他总能激励学生，并帮助我们相信自己的能力。我特别欣赏的是，在课后反馈时，他总会指出每个学生的优点，这让我感受到他对学生的细心与关注。我总是很期待每一次的课程。"
,"Alexandra Kryusova, Irkutsk, Russia — English Teacher",アレクサンドラ・クリュソワ（ロシア・イルクーツク）— 英語教師,"Александра Крюсова, Иркутск, Россия — преподаватель английского языка",亚历山德拉·克留索娃，俄罗斯伊尔库茨克 — 英语教师
,,,,
,"As a teacher with more than 30 years of experience, I believe that both students and teachers are always learning and improving. Lessons with Mr. John are a wonderful opportunity to develop conversational English while discussing many topics, including teaching methods, in a friendly and supportive atmosphere.

With his extensive experience working with both adults and children, as well as his ability as a polyglot, I am confident that anyone who joins his classes will greatly benefit from his guidance.","30年以上の指導経験を持つ教師として、生徒も教師も常に学び、成長し続けていると感じています。ジョン先生のレッスンは、温かくサポートのある雰囲気の中で、英会話力を高めながら、教育方法を含むさまざまなテーマについて話し合える素晴らしい機会です。

大人から子どもまで幅広い指導経験を持ち、多言語を話すポリグロットでもあるジョン先生のもとで学ぶことは、きっと多くの人にとって大きな助けになると確信しています。","Как преподаватель с более чем 30-летним опытом, я считаю, что и студенты, и учителя постоянно учатся и совершенствуются. Занятия с мистером Джоном — это прекрасная возможность развивать разговорный английский, обсуждая различные темы, включая методику преподавания, в дружелюбной и поддерживающей атмосфере.

Благодаря его большому опыту работы как со взрослыми, так и с детьми, а также его способности говорить на нескольких языках, я уверена, что каждый, кто присоединится к его занятиям, получит большую пользу от его наставничества.","作为一名拥有30多年教学经验的教师，我认为无论是学生还是老师，都在不断学习和提升自己。与约翰老师的课程是在友好和支持的氛围中提高英语会话能力的绝佳机会，同时还能讨论包括教学方法在内的各种话题。

约翰老师不仅拥有丰富的成人和儿童教学经验，而且还是一位能说多种语言的多语者。我相信，任何加入他课程的人都会从他的指导中受益良多。"
,"Elena Povarissova, English Teacher — 30+ Years Experience",エレナ・ポワリソワ — 英語教師（指導経験30年以上）,"Елена Повариссова — преподаватель английского языка, опыт более 30 лет",埃琳娜·波瓦里索娃 — 英语教师（30年以上教学经验）
,,,,
,"My husband and I are studying with John. My husband has become much more confident in his English — he's amazed at how he's started using more complex phrases and words in class and with other people.

I'm an English teacher myself and I'm studying with John to improve my spoken English. John is always very supportive, gives lots of praise, and takes our interests into account when communicating.","私と夫はジョン先生と一緒に英語を学んでいます。夫は英語にとても自信がつき、授業や他の人との会話でも、より複雑な表現や語彙を使えるようになったことに驚いています。

私自身も英語教師ですが、英会話力を高めるためにジョン先生のレッスンを受けています。ジョン先生はいつも温かくサポートしてくれ、多くの励ましの言葉をかけてくれます。また、私たちの興味や関心を大切にしながら会話を進めてくれます。","Мы с мужем занимаемся английским с Джоном. Мой муж стал намного увереннее говорить по-английски — он сам удивляется, что начал использовать более сложные фразы и слова как на занятиях, так и в общении с другими людьми.

Я сама преподаватель английского языка и занимаюсь с Джоном, чтобы улучшить свой разговорный английский. Джон всегда очень поддерживает, часто хвалит и учитывает наши интересы во время общения.",我和我的丈夫都在和约翰老师学习英语。我的丈夫在英语方面变得更加自信了，他自己也很惊讶，在课堂和与他人交流时已经开始使用更复杂的短语和词汇。
,"Denis and Elena, Students",デニスとエレナ（受講生）,"Денис и Елена, студенты",丹尼斯和埃琳娜，学生
,,,,
,"In today's world, I believe it is vital to communicate with people from different cultures and countries. It's especially important to give children the opportunity to learn foreign languages from an early age, when learning comes most naturally.

For our family, a real help has been the unique teaching methods of John Harrigan and his wife Keiko. Their course helps children quickly develop spoken language skills through conversations, games, songs, and stories. The friendly atmosphere makes every lesson feel like a fun adventure.","今日の世界では、さまざまな国や文化の人々とコミュニケーションを取ることがとても重要だと感じています。特に子どもたちには、言語を自然に吸収できる幼い頃から外国語を学ぶ機会を与えることが大切です。

私たちの家族にとって、ジョン・ハリガン先生と奥様のケイコ先生の独自の指導法は大きな助けとなりました。会話、ゲーム、歌、物語を通して、子どもたちは英語の会話力を自然に伸ばしていきます。温かくフレンドリーな雰囲気のおかげで、毎回のレッスンが楽しい冒険のように感じられます。","В современном мире, на мой взгляд, очень важно уметь общаться с людьми из разных стран и культур. Особенно важно дать детям возможность изучать иностранные языки с раннего возраста, когда обучение происходит наиболее естественно.

Для нашей семьи настоящей поддержкой стали уникальные методы преподавания Джона Харригана и его жены Кейко. Их курс помогает детям быстро развивать разговорный английский через беседы, игры, песни и истории. Дружелюбная атмосфера делает каждый урок настоящим увлекательным приключением.","在当今世界，我认为与来自不同国家和文化的人交流非常重要。尤其是让孩子从小就有机会学习外语，因为这个阶段学习语言最为自然。

对我们家庭来说，约翰·哈里根和他的妻子惠子老师独特的教学方法给予了很大的帮助。他们的课程通过对话、游戏、歌曲和故事，帮助孩子们迅速提升英语口语能力。轻松友好的氛围让每一节课都像一次有趣的冒险。"
,"Marina Mafikova, Parent",マリーナ・マフィコワ（保護者）,"Марина Мафикова, родитель",玛丽娜·马菲科娃，家长
,,,,
Contact,Ready to Start?,始める準備はできていますか？,Готовы начать?,准备开始了吗？
,Get in Touch with Us Today!,今すぐお問い合わせください！,Свяжитесь с нами уже сегодня!,今天就联系我们！
,Send Us a Message,メッセージを送る,Отправить сообщение,给我们留言
,Your Name,お名前,Ваше имя,您的姓名
,Email Address,メールアドレス,Адрес электронной почты,电子邮箱地址
,Your Message,メッセージ内容,Ваше сообщение,您的留言
,Send ,送信,Отправить,发送
,,,,
,,,,
Footer,Get in Touch,お問い合わせ,Связаться с нами,联系我们
,Write To Us,メッセージを送る,Напишите нам,给我们写信
,Fun online English classes for children and adults — with experienced international teachers who care about your progress.,子どもから大人まで楽しめるオンライン英語クラス。経験豊かな国際的な講師が、あなたの成長をしっかりサポートします。,"Увлекательные онлайн-занятия английским для детей и взрослых — с опытными международными преподавателями, которые заботятся о вашем прогрессе.",为儿童和成人提供有趣的在线英语课程——由经验丰富的国际教师指导，关注你的学习进步。
,Quick LInks,クイックリンク,Быстрые ссылки,快速链接
